City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (deg C)
338,kzyltu,53.6364,72.3414,276.19,51,100,9.67,KZ,1728598697,2.9399999999999977
339,qaqortoq,60.7167,-46.0333,274.97,90,32,3.92,GL,1728598698,1.7200000000000273
340,iskateley,67.6803,53.1512,270.25,78,100,6.53,RU,1728598699,-3.0
341,susuman,62.7833,148.1667,259.41,93,49,0.79,RU,1728598700,-13.839999999999975
342,lerwick,60.1545,-1.1494,278.85,61,68,4.09,GB,1728598701,5.600000000000023
343,revda,56.801,59.9303,268.03,87,100,5.81,RU,1728598702,-5.220000000000027
344,midvagur,62.0511,-7.1939,276.61,75,100,5.14,FO,1728598703,3.3600000000000136
345,tanaina,61.6269,-149.4281,279.38,76,20,1.54,US,1728598706,6.1299999999999955
346,vilyuysk,63.7553,121.6247,269.17,96,100,0.87,RU,1728598707,-4.079999999999984
347,floro,61.5996,5.0328,279.13,70,40,5.66,NO,1728598708,5.8799999999999955
348,tazovsky,67.4667,78.7,269.68,89,72,7.42,RU,1728598709,-3.569999999999993
349,muhos,64.808,25.9931,280.2,93,100,6.93,FI,1728598710,6.949999999999989
350,boden,65.8252,21.6886,282.34,97,100,5.5,SE,1728598711,9.089999999999975
351,klaksvik,62.2266,-6.589,277.81,65,100,9.04,FO,1728598712,4.560000000000002
352,inari,68.906,27.0288,276.33,98,100,3.27,FI,1728598714,3.079999999999984
353,aldinga beach,-35.2793,138.4604,286.84,69,2,3.82,AU,1728598715,13.589999999999975
354,eduardo castex,-35.915,-64.2945,297.79,35,52,2.47,AR,1728598716,24.54000000000002
355,barra de santo antonio,-9.4047,-35.5072,297.99,74,71,5.16,BR,1728598717,24.74000000000001
356,isangel,-19.55,169.2667,300.21,69,75,4.12,VU,1728598718,26.95999999999998
357,inverell,-29.7833,151.1167,292.68,74,40,0.89,AU,1728598719,19.430000000000007
358,saint-leu,-21.15,55.2833,294.63,90,76,3.06,RE,1728598720,21.379999999999995
359,kone,-21.0595,164.8658,299.9,50,0,2.18,NC,1728598721,26.649999999999977
360,sao joao da barra,-21.6403,-41.0511,294.2,87,100,8.04,BR,1728598722,20.94999999999999
361,tarija,-21.5355,-64.7296,289.1,67,75,4.12,BO,1728598724,15.850000000000023
362,vila velha,-20.3297,-40.2925,295.12,97,100,2.06,BR,1728598455,21.870000000000005
363,south hedland,-20.4089,118.5983,296.11,60,6,3.09,AU,1728598726,22.860000000000014
364,kismayo,-0.3582,42.5454,298.1,87,53,7.01,SO,1728598727,24.850000000000023
365,isiro,2.7739,27.616,292.27,99,99,0.86,CD,1728598728,19.019999999999982
